,contents,author,title,view_count,upload_date
0,패셔니스타이자 프리미엄 스트리트 브랜드 MLB(엠엘비)의 앰베서더 현아(HyunA)가 패션 센스가 돋보이는 맨투맨 스타일링을 공개해 화제다.현아의 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과...,마이민트,"현아, 표정만 봐도 '심쿵' 섹시美 돋보이는 화보 속으로",0 읽음,2020.08.04.
2,"레깅스 활용한 애슬레저 룩부터 핫팬츠 코디, 톤톤 코디 등 다양 현아가 착용한 ‘MLB’ 맨투맨 패셔니스타이자 프리미엄 스트리트 브랜드 ‘MLB’의 앰베서더인 현아가 그녀만의 패션 센스가 돋보이는 맨투맨...",패션인사이트,맨투맨도 ‘인간 MLB’ 현아가 입으면 소장각,19 읽음,2020.08.04.
4,패셔니스타이자 프리미엄 스트리트 브랜드 MLB(엠엘비)의 앰베서더인 ‘현아(HyunA)’가 그녀만의 패션 센스가 돋보이는 맨투맨 스타일링을 공개해 화제다. ... 팬츠에 로고와 컬러감이 돋보이는 을 포인트...,포토뉴스투데이,존재 자체가 ‘힙’! 인간 MLB ‘현아’ 맨투맨 화보,0 읽음,2020.08.03.
6,사진제공=MLB(엠엘비) 패셔니스타이자 프리미엄 스트리트 브랜드 MLB(엠엘비)의 앰베서더인 ‘현아(HyunA)’가 그녀만의 패션 센스가 돋보이는 맨투맨 스타일링을 공개했다. 현아가 제안하는 코디와 더...,스타일엑스,현아가 제안하는 맨투맨 스타일링,81 읽음,2020.08.03.
8,존재 자체가 힙현아화보 속 아이템 정보존재 자체가 힙한 가수 현아는 최근 프리미엄 스트리트 브랜드 'MLB'와 함께한맨투맨 화보를선보였는데요~화보 속 현아는의 앰버서더다운힙한 스타일링을뽐냈다고 합니다!,쓸,현아 pick 맨투맨 'MLB',13 읽음,2020.08.03.
10,최근 공개된 MLB 화보에서 마이크를 든 현아는 하늘색 맨투맨에 같은 색상의 쇼츠로 맨투맨 톤톤 코디의 정석을 보여주며 상큼함을 뽐냈다. 현아는 네온 컬러의 바이크... 디자인의 코디를 보여주며 팔색조...,인사이트,상큼발랄한 맨투맨 패션으로 청량감 만렙 찍은 현아 근황,161 읽음,2020.08.03.
12,▲ 가수 현아의 화보가 공개됐다 / 사진: MLB 제공 현아는 오버핏 맨투맨을 매치하거나 평소 즐겨 입는 핫팬츠를 더해 각선미를 뽐냈다. 현아의 코디와 더 많은 화보 컷은 공식 사이트 및 인스타그램에서...,베프리포트,"[화보] '던♥' 현아, 존재 자체가 힙",3 읽음,2020.08.03.
14,"MLB (엠엘비)빅로고 베이스볼 져지 LA 다저스 109,000원 이효리 MLB (엠엘비) 져지 Dr.... 가방    MLB(엠엘비)의 져지 티셔츠가포인트 컬러로 들어가서양갈래 머리에 맞게귀여운 스트릿 패션이...",스타일랩,핫하고 힙한 언니들! 제시 이효리 화사 현아인스타 속 스트릿 패션 아이템,504 읽음,2020.07.16.
16,"# MLB X DISNEY① '돔햇 LA다저스' 사진 = MLB 미키마우스 컬래버레이션 돔햇 제품으로, 실제 MLB 의류를 입은 듯한 미키마우스를 선명한 컬러감을 제공하는 실리콘 전사로 한 프린팅이 특징이다. 만의 헤리티지 느낌을...",제이닷 J MAGAZINE,'디즈니 덕후 모여라~!' 브랜드 X 디즈니 컬래버레이션 제품 모음 zip,"2,353 읽음",2020.06.25.
18,CONVERSE두 번째 주인공은 지창욱이야이번에 SBS 편의점샛별이에서편의점 점장 역을 맡게 된 지창욱 :)앞으로의 작품 활동이넘나 기대 가되 :)지창욱은 과 티셔츠를블루 색상 컬러를선택해 캐주얼한남자...,어쩌다패피,셀럽들이 선택한 컬러 '블루',"1,138 읽음",2020.06.23.
20,라이트 그레이 색상의맨투맨에 작년부터 여름에 트렌드로 자리잡은바이커 팬츠를 착용했더라구요. mlb 볼캡과 센스있고 세련된 진주 목걸이 악세사리로단순한 트레이닝 룩이 아닌센스있는 패션! ...,스타일랩,☆셀럽 PICK! 꾸안꾸 트레이닝 룩 패션☆,914 읽음,2020.05.25.
22,10만3천6백 원 ☞쇼핑바로가기MSGM 빅로고 맨투맨 티셔츠. 밝고 경쾌한 무드의 옷으로 핫하게 떠오른 이탈리아 브랜드 'MSGM'의 맨투맨 티셔츠는 요즘 트렌드를 고스란히 반영해 어른들도 탐날 만큼 멋스러워요. ...,현대백화점,실패 제로! 성향에 딱 맞는 가정의 달 기프트 가이드,11 읽음,2020.05.14.
24,"티셔츠 : 세인트제임스 / 볼캡 : MLB, 맨투맨 : 밀로그램 , 슈즈 : 루이비통 전체적으로 톤온톤을 잘 맞춰서 그런지무난하지만 한 가지씩 포인트 아이템을 활용해서깔끔하고 어려보이는 꾸안꾸 스타일링을 완성했지!",어쩌다패피,"라스트팡, 마지막 봄 즐기기?","3,288 읽음",2020.05.13.
26,"#MLB티셔츠... 표현한MLB티셔츠에는 MLB 팀... 뛰어난 활동성이 돋보이고- 퍼플 맨투맨과 체크 플리츠 스커트 조합에레이스 장갑, 초커까지 활용하면 발랄 무드 UP UP여기에 미니백팩 블랙과 매치하면만화를 찢고 나온!...",뷰티쏘식,여름 남자반팔티 추천 5월 선물하기 좋은 MLB 티셔츠 로고티셔츠 남성봄코디,"7,533 읽음",2020.04.29.
28,"등쪽에 유니크한 아트웍과 대담한 로고 플레이로나만의 개성을 살리는 #MLB맨투맨비비드 퍼플 컬러베이직한 로고 맨투맨과미니스커트의 만남은  ‘환상 궁합’ 취향 저격, 개성 만점 티셔츠의 세계가 개봉박두!...",뷰티쏘식,루즈핏 오버핏 여성반팔티셔츠 하의실종 스타일링 MLB반팔티 여성티셔츠 여자반팔티 추천,"11,190 읽음",2020.04.24.
30,"이천희의 오렌지 컬러 맨투맨은 MILLOGREM, 데님... 이천희의 레드 컬러 비니는 MLB, 오렌지 컬러 맨투맨은 MILLOGREM, 데님 팬츠는 DON THE FULLER by I.M.Z PREMIUM, 그린 새틴 소재의 하이탑 스니커즈는 컨버스. ...",시어터플러스,"[COVER STORY] 예술과 인생 사이_연극 <아트> 배우 이건명,박건형,이천희",336 읽음,2020.04.23.
32,"다음은 커플들도 많이 시도하는mlb 맨투맨 시밀러 룩 :)mlb 맨투맨이야 뭐 베이직한 데일리 패밀리룩으로할머니, 할아버지, 엄마 그리고 아빠까지모~든 가족이 함께 패밀리룩 시도해볼 수 있어남녀노소 사랑받는...",걸스픽,#가족룩 #트윈룩 #엄마딸커플룩 엠엘비키즈에서 고민 해결! 쇼핑 끝♥,"1,201 읽음",2020.04.20.
34,이번 포스팅은 커플 구독자들을 위해데이트 또는 여행 패션으로 입기 좋은예쁜 커플 맨투맨을 준비해봤어! ... ? MLB 스포티한 감성의 MLB 또한요즘 커플 으로 많이 보고 있는  브랜드 중 하나더라구!    ...,언니의파우치,[언니의옷장] 10만 원 이하! 커플 맨투맨 28종 추천.ZIP,"22,498 읽음",2020.04.16.
36,"과거 맨투맨, 래시가드 등이 높은 판매를 보였지만 주 매출원은 겨울시즌 다운제품이었다.  이 회사 직원들은 하나같이 지난해 일궈냈던 ‘’의 역대급 매출 기록과 현재 ‘디스커버리’의 성장에 대해...",패션포스트,F&F의 비밀 전략 '디지털트랜스포메이션',"17,746 읽음",2020.04.13.
38,"MLB 키즈 맨투맨 다음 커플 시밀러 룩, 패밀리룩 코디 아이템은mlb 키즈 맨투맨인데요,뭐 mlb 하면 맨투맨 아니겠어요?MLB  맨투맨 아이템▼▼▼ 출처 : MLB 공식 홈페이지 반바지,데님,반바지,운동화...",걸스픽,MLB키즈♥이젠 가족과 함께!#패밀리룩 #커플시밀러룩(ft.MLBFAM 런칭 이벤트),"1,871 읽음",2020.04.10.
